"cumulative_deaths","date_death_report","deaths","province"
383,"11-11-2020",7,"Alberta"
393,"12-11-2020",10,"Alberta"
398,"13-11-2020",5,"Alberta"
401,"14-11-2020",3,"Alberta"
407,"15-11-2020",6,"Alberta"
427,"16-11-2020",20,"Alberta"
432,"17-11-2020",5,"Alberta"
443,"18-11-2020",11,"Alberta"
451,"19-11-2020",8,"Alberta"
462,"20-11-2020",11,"Alberta"
471,"21-11-2020",9,"Alberta"
471,"22-11-2020",0,"Alberta"
476,"23-11-2020",5,"Alberta"
491,"24-11-2020",15,"Alberta"
500,"25-11-2020",9,"Alberta"
510,"26-11-2020",10,"Alberta"
519,"27-11-2020",9,"Alberta"
524,"28-11-2020",5,"Alberta"
533,"29-11-2020",9,"Alberta"
541,"30-11-2020",8,"Alberta"
551,"01-12-2020",10,"Alberta"
561,"02-12-2020",10,"Alberta"
575,"03-12-2020",14,"Alberta"
590,"04-12-2020",15,"Alberta"
596,"05-12-2020",6,"Alberta"
615,"06-12-2020",19,"Alberta"
631,"07-12-2020",16,"Alberta"
640,"08-12-2020",9,"Alberta"
653,"09-12-2020",13,"Alberta"
666,"10-12-2020",13,"Alberta"
684,"11-12-2020",18,"Alberta"
697,"12-12-2020",13,"Alberta"
719,"13-12-2020",22,"Alberta"
733,"14-12-2020",14,"Alberta"
744,"15-12-2020",11,"Alberta"
760,"16-12-2020",16,"Alberta"
790,"17-12-2020",30,"Alberta"
815,"18-12-2020",25,"Alberta"
841,"19-12-2020",26,"Alberta"
851,"20-12-2020",10,"Alberta"
860,"21-12-2020",9,"Alberta"
871,"22-12-2020",11,"Alberta"
890,"23-12-2020",19,"Alberta"
890,"24-12-2020",0,"Alberta"
890,"25-12-2020",0,"Alberta"
890,"26-12-2020",0,"Alberta"
890,"27-12-2020",0,"Alberta"
1002,"28-12-2020",112,"Alberta"
1028,"29-12-2020",26,"Alberta"
1046,"30-12-2020",18,"Alberta"
1046,"31-12-2020",0,"Alberta"
1046,"01-01-2021",0,"Alberta"
1046,"02-01-2021",0,"Alberta"
1046,"03-01-2021",0,"Alberta"
1142,"04-01-2021",96,"Alberta"
1168,"05-01-2021",26,"Alberta"
1193,"06-01-2021",25,"Alberta"
1217,"07-01-2021",24,"Alberta"
1241,"08-01-2021",24,"Alberta"
1272,"09-01-2021",31,"Alberta"
1284,"10-01-2021",12,"Alberta"
1307,"11-01-2021",23,"Alberta"
1345,"12-01-2021",38,"Alberta"
1368,"13-01-2021",23,"Alberta"
1389,"14-01-2021",21,"Alberta"
1402,"15-01-2021",13,"Alberta"
1417,"16-01-2021",15,"Alberta"
1436,"17-01-2021",19,"Alberta"
1447,"18-01-2021",11,"Alberta"
1463,"19-01-2021",16,"Alberta"
1484,"20-01-2021",21,"Alberta"
1500,"21-01-2021",16,"Alberta"
1,"08-03-2020",1,"BC"
1,"09-03-2020",0,"BC"
1,"10-03-2020",0,"BC"
1,"11-03-2020",0,"BC"
1,"12-03-2020",0,"BC"
1,"13-03-2020",0,"BC"
1,"14-03-2020",0,"BC"
1,"15-03-2020",0,"BC"
4,"16-03-2020",3,"BC"
7,"17-03-2020",3,"BC"
7,"18-03-2020",0,"BC"
8,"19-03-2020",1,"BC"
9,"20-03-2020",1,"BC"
10,"21-03-2020",1,"BC"
10,"22-03-2020",0,"BC"
13,"23-03-2020",3,"BC"
13,"24-03-2020",0,"BC"
14,"25-03-2020",1,"BC"
14,"26-03-2020",0,"BC"
16,"27-03-2020",2,"BC"
17,"28-03-2020",1,"BC"
17,"29-03-2020",0,"BC"
19,"30-03-2020",2,"BC"
24,"31-03-2020",5,"BC"
25,"01-04-2020",1,"BC"
31,"02-04-2020",6,"BC"
35,"03-04-2020",4,"BC"
38,"04-04-2020",3,"BC"
38,"05-04-2020",0,"BC"
39,"06-04-2020",1,"BC"
43,"07-04-2020",4,"BC"
48,"08-04-2020",5,"BC"
50,"09-04-2020",2,"BC"
55,"10-04-2020",5,"BC"
58,"11-04-2020",3,"BC"
58,"12-04-2020",0,"BC"
69,"13-04-2020",11,"BC"
72,"14-04-2020",3,"BC"
75,"15-04-2020",3,"BC"
77,"16-04-2020",2,"BC"
78,"17-04-2020",1,"BC"
81,"18-04-2020",3,"BC"
81,"19-04-2020",0,"BC"
86,"20-04-2020",5,"BC"
87,"21-04-2020",1,"BC"
90,"22-04-2020",3,"BC"
94,"23-04-2020",4,"BC"
98,"24-04-2020",4,"BC"
100,"25-04-2020",2,"BC"
100,"26-04-2020",0,"BC"
103,"27-04-2020",3,"BC"
105,"28-04-2020",2,"BC"
109,"29-04-2020",4,"BC"
111,"30-04-2020",2,"BC"
112,"01-05-2020",1,"BC"
114,"02-05-2020",2,"BC"
114,"03-05-2020",0,"BC"
117,"04-05-2020",3,"BC"
121,"05-05-2020",4,"BC"
124,"06-05-2020",3,"BC"
126,"07-05-2020",2,"BC"
127,"08-05-2020",1,"BC"
129,"09-05-2020",2,"BC"
129,"10-05-2020",0,"BC"
130,"11-05-2020",1,"BC"
131,"12-05-2020",1,"BC"
132,"13-05-2020",1,"BC"
135,"14-05-2020",3,"BC"
140,"15-05-2020",5,"BC"
141,"16-05-2020",1,"BC"
141,"17-05-2020",0,"BC"
143,"18-05-2020",2,"BC"
146,"19-05-2020",3,"BC"
149,"20-05-2020",3,"BC"
152,"21-05-2020",3,"BC"
155,"22-05-2020",3,"BC"
157,"23-05-2020",2,"BC"
157,"24-05-2020",0,"BC"
161,"25-05-2020",4,"BC"
161,"26-05-2020",0,"BC"
162,"27-05-2020",1,"BC"
164,"28-05-2020",2,"BC"
